Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_001
Test Start Time,15:40:11
Test Start Date,05/04/2018
Test Length [D:H:M],0:1:20
Test Interval [M:S],0:1
PM1 Average [mg/m3],0.015
PM1 Minimum [mg/m3],0.008
PM1 Maximum [mg/m3],0.131
PM1 TWA [mg/m3],0.002
PM2.5 Average [mg/m3],0.015
PM2.5 Minimum [mg/m3],0.008
PM2.5 Maximum [mg/m3],0.131
PM2.5 TWA [mg/m3],0.002
PM4 Average [mg/m3],0.015
PM4 Minimum [mg/m3],0.008
PM4 Maximum [mg/m3],0.131
PM4 TWA [mg/m3],0.002
PM10 Average [mg/m3],0.015
PM10 Minimum [mg/m3],0.008
PM10 Maximum [mg/m3],0.131
PM10 TWA [mg/m3],0.002
TOTAL Average [mg/m3],0.015
TOTAL Minimum [mg/m3],0.008
TOTAL Maximum [mg/m3],0.131
TOTAL TWA [mg/m3],0.002
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4849

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
143,0.016,0.016,0.016,0.016,0.016,,
144,0.016,0.016,0.016,0.016,0.016,,
145,0.014,0.014,0.014,0.014,0.014,,
146,0.013,0.013,0.013,0.013,0.013,,
147,0.014,0.014,0.014,0.014,0.014,,
148,0.017,0.017,0.017,0.017,0.017,,
149,0.018,0.018,0.018,0.018,0.018,,
150,0.017,0.017,0.017,0.017,0.017,,
151,0.015,0.015,0.015,0.015,0.015,,
152,0.014,0.014,0.014,0.014,0.014,,
153,0.014,0.014,0.014,0.014,0.014,,
154,0.016,0.016,0.016,0.016,0.016,,
155,0.015,0.015,0.015,0.015,0.015,,
156,0.015,0.015,0.015,0.015,0.015,,
157,0.016,0.016,0.016,0.016,0.016,,
158,0.014,0.014,0.014,0.014,0.014,,
159,0.015,0.015,0.015,0.015,0.015,,
160,0.017,0.017,0.017,0.017,0.017,,
161,0.016,0.016,0.016,0.016,0.016,,
162,0.016,0.016,0.016,0.016,0.016,,
163,0.031,0.031,0.031,0.031,0.031,,
164,0.034,0.034,0.034,0.034,0.034,,
165,0.014,0.014,0.014,0.014,0.014,,
166,0.014,0.015,0.015,0.015,0.015,,
167,0.014,0.014,0.014,0.014,0.014,,
168,0.013,0.013,0.013,0.013,0.013,,
169,0.014,0.014,0.014,0.014,0.014,,
170,0.016,0.016,0.016,0.016,0.016,,
171,0.016,0.016,0.016,0.016,0.016,,
172,0.015,0.015,0.015,0.015,0.015,,
173,0.015,0.015,0.015,0.015,0.015,,
174,0.013,0.013,0.013,0.013,0.013,,
175,0.014,0.014,0.014,0.014,0.014,,
176,0.014,0.014,0.014,0.014,0.014,,
177,0.014,0.014,0.014,0.014,0.014,,
178,0.013,0.013,0.013,0.013,0.013,,
179,0.013,0.013,0.013,0.013,0.013,,
180,0.015,0.015,0.015,0.015,0.015,,
181,0.015,0.015,0.015,0.015,0.015,,
182,0.015,0.015,0.015,0.015,0.015,,
183,0.017,0.017,0.017,0.017,0.017,,
184,0.014,0.014,0.014,0.014,0.014,,
185,0.014,0.014,0.014,0.014,0.014,,
186,0.014,0.014,0.014,0.014,0.014,,
187,0.016,0.016,0.016,0.016,0.016,,
188,0.014,0.015,0.015,0.015,0.015,,
189,0.013,0.013,0.013,0.013,0.013,,
190,0.014,0.014,0.014,0.014,0.014,,
191,0.014,0.014,0.014,0.014,0.014,,
192,0.013,0.013,0.013,0.013,0.013,,
